"","effect","LCL","UCL","betaName","nest"
"1",0.57420404333702,0.533929090388573,0.625486257170599,"Shrub cover","shrubs"
"2",0.616756813923105,0.55577870090013,0.677799143263559,"Shrub cover","trees"
"3",0.542636124582197,0.511709876060349,0.583322799422186,"Shrub cover","cavities"
"4",0.522835625593803,0.505317880899582,0.553517443568138,"Shrub cover","grass"
"5",0.562491943656459,0.239022369381719,0.864507058861997,"Protected","shrubs"
"6",0.81125776607743,0.46153487223398,0.957634432999619,"Protected","trees"
"7",0.942102572426446,0.580310438311325,0.997226250317444,"Protected","cavities"
"8",0.206760650094348,0.0361218997850934,0.722192269553736,"Protected","grass"
"9",0.149972540158998,0.0357444019109163,0.458494159348732,"Pasture","shrubs"
"10",0.127743739774009,0.0291259657135998,0.426934934583941,"Pasture","trees"
"11",0.216114563828472,0.012398831054192,0.870811030876912,"Pasture","cavities"
"12",0.361082231176881,0.0452498671006106,0.909110749198236,"Pasture","grass"
"13",0.27393422220667,0.0824562100572409,0.629531024432942,"Homestead","shrubs"
"14",0.293333199212085,0.0858600488513248,0.663067176185972,"Homestead","trees"
"15",0.0355206397248539,0.00295645193452285,0.286670082548456,"Homestead","cavities"
"16",0.0653127586318878,0.00830672862837054,0.344494487948471,"Homestead","grass"
"17",0.00689771178552475,0.00125237247046919,0.0348856349546836,"Plantation","shrubs"
"18",0.00733360399369747,0.00141623990638684,0.0373715964188381,"Plantation","trees"
"19",0.000125655288142367,2.48013481355417e-06,0.00606569655364251,"Plantation","cavities"
"20",0.0436583605652562,0.00278993462586745,0.43399020020863,"Plantation","grass"
